title,description,slug,name,weight,parent,label,class
black,black,black,black,10,Koleksi Warna,,
blue,blue,blue,blue,20,Koleksi Warna,,
brown,brown,brown,brown,30,Koleksi Warna,,
cream,cream,cream,cream,40,Koleksi Warna,,
darkgrey,darkgrey,darkgrey,darkgrey,50,Koleksi Warna,,
green,green,green,green,60,Koleksi Warna,,
grey,grey,grey,grey,70,Koleksi Warna,,
maroon,maroon,maroon,maroon,80,Koleksi Warna,,
navy,navy,navy,navy,90,Koleksi Warna,,
orange,orange,orange,orange,100,Koleksi Warna,,
pink,pink,pink,pink,110,Koleksi Warna,,
purple,purple,purple,purple,120,Koleksi Warna,,
red,red,red,red,130,Koleksi Warna,,
white,white,white,white,140,Koleksi Warna,,
yellow,yellow,yellow,yellow,150,Koleksi Warna,,
