title,description,tags,collections,colours,brand,sku,featured,thumbnail,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,image_13,image_14,image_15,image_16,image_17,image_18,badge,size,price,discount,weight,quantity,seri,material,jumlah_warna,warna_utama,tali_kerut,body
Micro Mask Basic Alpine,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,green,Hijacket,MM-BASIC-ALPINE,,/images/micromask/thumbnail/basic/basic_alpine.jpg,/images/micromask/basic/basic_alpine_01,/images/micromask/basic/basic_alpine_02,/images/micromask/basic/basic_alpine_03,/images/micromask/basic/basic_alpine_04,/images/micromask/basic/basic_alpine_05,/images/micromask/basic/basic_alpine_06,/images/micromask/basic/basic_alpine_07,/images/micromask/basic/basic_alpine_08,/images/micromask/basic/basic_alpine_09,/images/micromask/basic/basic_alpine_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,hijau moss,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Black,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,black,Hijacket,MM-BASIC-BLACK,,/images/micromask/thumbnail/basic/basic_black.jpg,/images/micromask/basic/basic_black_01,/images/micromask/basic/basic_black_02,/images/micromask/basic/basic_black_03,/images/micromask/basic/basic_black_04,/images/micromask/basic/basic_black_05,/images/micromask/basic/basic_black_06,/images/micromask/basic/basic_black_07,/images/micromask/basic/basic_black_08,/images/micromask/basic/basic_black_09,/images/micromask/basic/basic_black_10,/images/micromask/basic/basic_black_11,/images/micromask/basic/basic_black_12,/images/micromask/basic/basic_black_13,/images/micromask/basic/basic_black_14,/images/micromask/basic/basic_black_15,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,hitam,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Darkgrey,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,darkgrey,Hijacket,MM-BASIC-DARKGREY,,/images/micromask/thumbnail/basic/basic_darkgrey.jpg,/images/micromask/basic/basic_darkgrey_01,/images/micromask/basic/basic_darkgrey_02,/images/micromask/basic/basic_darkgrey_03,/images/micromask/basic/basic_darkgrey_04,/images/micromask/basic/basic_darkgrey_05,/images/micromask/basic/basic_darkgrey_06,/images/micromask/basic/basic_darkgrey_07,/images/micromask/basic/basic_darkgrey_08,/images/micromask/basic/basic_darkgrey_09,/images/micromask/basic/basic_darkgrey_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,abu tua,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Grey,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,grey,Hijacket,MM-BASIC-GREY,,/images/micromask/thumbnail/basic/basic_grey.jpg,/images/micromask/basic/basic_grey_01,/images/micromask/basic/basic_grey_02,/images/micromask/basic/basic_grey_03,/images/micromask/basic/basic_grey_04,/images/micromask/basic/basic_grey_05,/images/micromask/basic/basic_grey_06,/images/micromask/basic/basic_grey_07,/images/micromask/basic/basic_grey_08,/images/micromask/basic/basic_grey_09,/images/micromask/basic/basic_grey_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,abu,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Marigold,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,orange,Hijacket,MM-BASIC-MARIGOLD,,/images/micromask/thumbnail/basic/basic_marigold.jpg,/images/micromask/basic/basic_marigold_01,/images/micromask/basic/basic_marigold_02,/images/micromask/basic/basic_marigold_03,/images/micromask/basic/basic_marigold_04,/images/micromask/basic/basic_marigold_05,/images/micromask/basic/basic_marigold_06,/images/micromask/basic/basic_marigold_07,/images/micromask/basic/basic_marigold_08,/images/micromask/basic/basic_marigold_09,/images/micromask/basic/basic_marigold_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,marigold,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Maroon,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,maroon,Hijacket,MM-BASIC-MAROON,,/images/micromask/thumbnail/basic/basic_maroon.jpg,/images/micromask/basic/basic_maroon_01,/images/micromask/basic/basic_maroon_02,/images/micromask/basic/basic_maroon_03,/images/micromask/basic/basic_maroon_04,/images/micromask/basic/basic_maroon_05,/images/micromask/basic/basic_maroon_06,/images/micromask/basic/basic_maroon_07,/images/micromask/basic/basic_maroon_08,/images/micromask/basic/basic_maroon_09,/images/micromask/basic/basic_maroon_10,/images/micromask/basic/basic_maroon_11,/images/micromask/basic/basic_maroon_12,/images/micromask/basic/basic_maroon_13,/images/micromask/basic/basic_maroon_14,/images/micromask/basic/basic_maroon_15,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,maroon,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Mocca,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,mocca,Hijacket,MM-BASIC-MOCCA,,/images/micromask/thumbnail/basic/basic_mocca.jpg,/images/micromask/basic/basic_mocca_01,/images/micromask/basic/basic_mocca_02,/images/micromask/basic/basic_mocca_03,/images/micromask/basic/basic_mocca_04,/images/micromask/basic/basic_mocca_05,/images/micromask/basic/basic_mocca_06,,,,,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,cokelat,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Navy,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,navy,Hijacket,MM-BASIC-NAVY,,/images/micromask/thumbnail/basic/basic_navy.jpg,/images/micromask/basic/basic_navy_01,/images/micromask/basic/basic_navy_02,/images/micromask/basic/basic_navy_03,/images/micromask/basic/basic_navy_04,/images/micromask/basic/basic_navy_05,/images/micromask/basic/basic_navy_06,/images/micromask/basic/basic_navy_07,/images/micromask/basic/basic_navy_08,/images/micromask/basic/basic_navy_09,/images/micromask/basic/basic_navy_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,navy,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Orchid,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,pink,Hijacket,MM-BASIC-ORCHID,,/images/micromask/thumbnail/basic/basic_orchid.jpg,/images/micromask/basic/basic_orchid_01,/images/micromask/basic/basic_orchid_02,/images/micromask/basic/basic_orchid_03,/images/micromask/basic/basic_orchid_04,/images/micromask/basic/basic_orchid_05,/images/micromask/basic/basic_orchid_06,/images/micromask/basic/basic_orchid_07,/images/micromask/basic/basic_orchid_08,/images/micromask/basic/basic_orchid_09,/images/micromask/basic/basic_orchid_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,pink,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
Micro Mask Basic Purple,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.",micromask,basic,ungu,Hijacket,MM-BASIC-PURPLE,,/images/micromask/thumbnail/basic/basic_purple.jpg,/images/micromask/basic/basic_purple_01,/images/micromask/basic/basic_purple_02,/images/micromask/basic/basic_purple_03,/images/micromask/basic/basic_purple_04,/images/micromask/basic/basic_purple_05,/images/micromask/basic/basic_purple_06,/images/micromask/basic/basic_purple_07,/images/micromask/basic/basic_purple_08,/images/micromask/basic/basic_purple_09,/images/micromask/basic/basic_purple_10,,,,,,,,,,All Size,12500,10000,20,10,Micromask,Premium fleece & Poly-fiber pabric,1 Warna,ungu,tali karet string dan stopper,"Mari ikut bantu mengantisipasi stok MASKER SURGICAL / MASKER MEDIS untuk PARA PEJUANG GARDA DEPAN dengan memakai masker kain Non Medis. Ketebalan yang sudah disesuaikan, dan sudah di test untuk meniup api pada lilin, dan lilin tidak padam. Lapisan berlebihan akan membuat napas yang sulit karena bahan terlalu tebal.

- Efektif menangkal virus hingga 70%.
- Tali Karet Yang Nyaman
- Jahitan & Lipatan Rapi, tidak mudah Robek
- Cara pakai praktis tidak ribet
- Dapat dicuci berulang kali
- Hijab friendly
- Breathable (mudah bernafas)

#### Tabel Ukuran Micro Mask Basic

| Ukuran              | All Size        |
|---------------------|-----------------|
| Panjang             | 23-24 cm        |
| lebar               | 14,5-15,5 cm    |"
